"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_coal","conversion_factor_sec_elec","ef_pri_coal_emi_co2_f_pow"
1,"global",2020,"pow_combustion_st_coal_1",0.0,100000.0,0.0,2090313.57739635,43888.80769,3.84227846072314,0.0,0.0,0.0,40,"","v1","","","",2.22222222222222,1.0,"global_emission_factors.pri_coal"
2,"global",2021,"pow_combustion_st_coal_1",0.0,100000.0,0.0,2090313.57739635,40196.353834,3.76609966961532,0.0,0.0,0.0,40,"","v1","","","",2.2075055187638,1.0,"global_emission_factors.pri_coal"
3,"global",2024,"pow_combustion_st_coal_1",0.0,100000.0,0.0,2090313.57739635,38350.126906,3.72801027406141,0.0,0.0,0.0,40,"","v1","","","",2.2002200220022,1.0,"global_emission_factors.pri_coal"
4,"global",2027,"pow_combustion_st_coal_1",0.0,100000.0,0.0,2090313.57739635,39580.944858,3.75340320443068,0.0,0.0,0.0,40,"","v1","","","",2.20507166482911,1.0,"global_emission_factors.pri_coal"
5,"global",2030,"pow_combustion_st_coal_1",0.0,100000.0,0.0,2090313.57739635,37734.71793,3.71531380887677,0.0,0.0,0.0,40,"","v1","","","",2.1978021978022,1.0,"global_emission_factors.pri_coal"
6,"global",2035,"pow_combustion_st_coal_1",0.0,100000.0,0.0,2090313.57739635,35638.4811055,3.64306863751455,0.0,0.0,0.0,40,"","v1","","","",2.17391304347826,1.0,"global_emission_factors.pri_coal"
7,"global",2040,"pow_combustion_st_coal_1",0.0,100000.0,0.0,2090313.57739635,33542.244281,3.57082346615233,0.0,0.0,0.0,40,"","v1","","","",2.1505376344086,1.0,"global_emission_factors.pri_coal"
8,"global",2045,"pow_combustion_st_coal_1",0.0,100000.0,0.0,2090313.57739635,33138.3821405,3.5554113265721,0.0,0.0,0.0,40,"","v1","","","",2.13903743315508,1.0,"global_emission_factors.pri_coal"
9,"global",2050,"pow_combustion_st_coal_1",0.0,100000.0,0.0,2090313.57739635,32734.52,3.53999918699187,0.0,0.0,0.0,40,"","v1","","","",2.12765957446809,1.0,"global_emission_factors.pri_coal"
10,"global",2060,"pow_combustion_st_coal_1",0.0,100000.0,0.0,2090313.57739635,32734.52,3.53999918699187,0.0,0.0,0.0,40,"","v1","","","",2.12765957446809,1.0,"global_emission_factors.pri_coal"
11,"global",2070,"pow_combustion_st_coal_1",0.0,100000.0,0.0,2090313.57739635,32734.52,3.53999918699187,0.0,0.0,0.0,40,"","v1","","","",2.12765957446809,1.0,"global_emission_factors.pri_coal"
12,"AT",2020,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
13,"AT",2021,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
14,"AT",2024,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
15,"AT",2027,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
16,"AT",2030,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
17,"AT",2035,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
18,"AT",2040,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
19,"AT",2045,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
20,"AT",2050,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
21,"AT",2060,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
22,"AT",2070,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
23,"BA",2020,"pow_combustion_st_coal_0",23.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.57922741821915,1.0,"global_emission_factors.pri_coal"
24,"BA",2021,"pow_combustion_st_coal_0",23.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.57922741821915,1.0,"global_emission_factors.pri_coal"
25,"BA",2024,"pow_combustion_st_coal_0",23.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.57922741821915,1.0,"global_emission_factors.pri_coal"
26,"BA",2027,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
27,"BA",2030,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
28,"BA",2035,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
29,"BA",2040,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
30,"BA",2045,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
31,"BA",2050,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
32,"BA",2060,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
33,"BA",2070,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
34,"BE",2020,"pow_combustion_st_coal_0",19.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.61550734303687,1.0,"global_emission_factors.pri_coal"
35,"BE",2021,"pow_combustion_st_coal_0",19.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.61550734303687,1.0,"global_emission_factors.pri_coal"
36,"BE",2024,"pow_combustion_st_coal_0",19.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.61550734303687,1.0,"global_emission_factors.pri_coal"
37,"BE",2027,"pow_combustion_st_coal_0",19.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.61550734303687,1.0,"global_emission_factors.pri_coal"
38,"BE",2030,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
39,"BE",2035,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
40,"BE",2040,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
41,"BE",2045,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
42,"BE",2050,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
43,"BE",2060,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
44,"BE",2070,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
45,"BG",2020,"pow_combustion_st_coal_0",100.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.58453363382844,1.0,"global_emission_factors.pri_coal"
