"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_lignite","conversion_factor_sec_elec","ef_pri_lignite_emi_co2_f_pow"
1,"global",2020,"pow_combustion_st_lignite_1",0.0,100000.0,0.0,2280342.08443239,49482.30593501,4.39913288326777,0.0,0.0,0.0,40,"","v1","","","",2.4390243902439,1.0,"global_emission_factors.pri_lignite"
2,"global",2021,"pow_combustion_st_lignite_1",0.0,100000.0,0.0,2280342.08443239,46693.313607746,4.30834627809762,0.0,0.0,0.0,40,"","v1","","","",2.40384615384615,1.0,"global_emission_factors.pri_lignite"
3,"global",2024,"pow_combustion_st_lignite_1",0.0,100000.0,0.0,2280342.08443239,45298.817444114,4.26295297551255,0.0,0.0,0.0,40,"","v1","","","",2.38663484486874,1.0,"global_emission_factors.pri_lignite"
4,"global",2027,"pow_combustion_st_lignite_1",0.0,100000.0,0.0,2280342.08443239,46228.481553202,4.29321517723593,0.0,0.0,0.0,40,"","v1","","","",2.39808153477218,1.0,"global_emission_factors.pri_lignite"
5,"global",2030,"pow_combustion_st_lignite_1",0.0,100000.0,0.0,2280342.08443239,44833.98538957,4.24782187465086,0.0,0.0,0.0,40,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_lignite"
6,"global",2035,"pow_combustion_st_lignite_1",0.0,100000.0,0.0,2280342.08443239,43250.6512037795,3.63160559891677,0.0,0.0,0.0,40,"","v1","","","",2.35294117647059,1.0,"global_emission_factors.pri_lignite"
7,"global",2040,"pow_combustion_st_lignite_1",0.0,100000.0,0.0,2280342.08443239,41667.317017989,3.01538932318268,0.0,0.0,0.0,40,"","v1","","","",2.32558139534884,1.0,"global_emission_factors.pri_lignite"
8,"global",2045,"pow_combustion_st_lignite_1",0.0,100000.0,0.0,2280342.08443239,41362.2709821945,2.93341417378646,0.0,0.0,0.0,40,"","v1","","","",2.29885057471264,1.0,"global_emission_factors.pri_lignite"
9,"global",2050,"pow_combustion_st_lignite_1",0.0,100000.0,0.0,2280342.08443239,41057.2249464,2.85143902439024,0.0,0.0,0.0,40,"","v1","","","",2.27272727272727,1.0,"global_emission_factors.pri_lignite"
10,"global",2060,"pow_combustion_st_lignite_1",0.0,100000.0,0.0,2280342.08443239,41057.2249464,2.85143902439024,0.0,0.0,0.0,40,"","v1","","","",2.27272727272727,1.0,"global_emission_factors.pri_lignite"
11,"global",2070,"pow_combustion_st_lignite_1",0.0,100000.0,0.0,2280342.08443239,41057.2249464,2.85143902439024,0.0,0.0,0.0,40,"","v1","","","",2.27272727272727,1.0,"global_emission_factors.pri_lignite"
12,"BA",2020,"pow_combustion_cc_lignite_0",469.0,0.0,0.0,34385.0,2153656.41307503,3.3,0.0,0.0,0.0,0,"","v1","","","",2.78875280178234,1.0,"global_emission_factors.pri_lignite"
13,"BA",2021,"pow_combustion_cc_lignite_0",380.0,0.0,0.0,34385.0,2153656.41307503,3.3,0.0,0.0,0.0,0,"","v1","","","",2.73647264355499,1.0,"global_emission_factors.pri_lignite"
14,"BA",2024,"pow_combustion_cc_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_lignite"
15,"BA",2027,"pow_combustion_cc_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_lignite"
16,"BA",2030,"pow_combustion_cc_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_lignite"
17,"BA",2035,"pow_combustion_cc_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_lignite"
18,"BA",2040,"pow_combustion_cc_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_lignite"
19,"BA",2045,"pow_combustion_cc_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_lignite"
20,"BA",2050,"pow_combustion_cc_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_lignite"
21,"BA",2060,"pow_combustion_cc_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_lignite"
22,"BA",2070,"pow_combustion_cc_lignite_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_lignite"
23,"BA",2020,"pow_combustion_st_lignite_0",1103.0,0.0,0.0,34385.0,2153656.41307503,3.3,0.0,0.0,0.0,0,"","v1","","","",2.65621028816614,1.0,"global_emission_factors.pri_lignite"
24,"BA",2021,"pow_combustion_st_lignite_0",1103.0,0.0,0.0,34385.0,2153656.41307503,3.3,0.0,0.0,0.0,0,"","v1","","","",2.65621028816614,1.0,"global_emission_factors.pri_lignite"
25,"BA",2024,"pow_combustion_st_lignite_0",1202.0,0.0,0.0,34385.0,2153656.41307503,3.26855241264559,0.0,0.0,0.0,0,"","v1","","","",2.65648543702202,1.0,"global_emission_factors.pri_lignite"
26,"BA",2027,"pow_combustion_st_lignite_0",1202.0,0.0,0.0,34385.0,2153656.41307503,3.26855241264559,0.0,0.0,0.0,0,"","v1","","","",2.65648543702202,1.0,"global_emission_factors.pri_lignite"
27,"BA",2030,"pow_combustion_st_lignite_0",1684.0,0.0,0.0,36556.7012389249,2179986.57042365,3.42217200482648,0.0,0.0,0.0,0,"","v1","","","",2.72894544721511,1.0,"global_emission_factors.pri_lignite"
28,"BA",2035,"pow_combustion_st_lignite_0",1684.0,0.0,0.0,36556.7012389249,2179986.57042365,3.42217200482648,0.0,0.0,0.0,0,"","v1","","","",2.72894544721511,1.0,"global_emission_factors.pri_lignite"
29,"BA",2040,"pow_combustion_st_lignite_0",1684.0,0.0,0.0,36556.7012389249,2179986.57042365,3.42217200482648,0.0,0.0,0.0,0,"","v1","","","",2.72894544721511,1.0,"global_emission_factors.pri_lignite"
30,"BA",2045,"pow_combustion_st_lignite_0",1684.0,0.0,0.0,36556.7012389249,2179986.57042365,3.42217200482648,0.0,0.0,0.0,0,"","v1","","","",2.72894544721511,1.0,"global_emission_factors.pri_lignite"
31,"BA",2050,"pow_combustion_st_lignite_0",1684.0,0.0,0.0,36556.7012389249,2179986.57042365,3.42217200482648,0.0,0.0,0.0,0,"","v1","","","",2.72894544721511,1.0,"global_emission_factors.pri_lignite"
32,"BA",2060,"pow_combustion_st_lignite_0",1684.0,0.0,0.0,36556.7012389249,2179986.57042365,3.42217200482648,0.0,0.0,0.0,0,"","v1","","","",2.72894544721511,1.0,"global_emission_factors.pri_lignite"
