"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_geoth_heat","conversion_factor_sec_elec"
1,"AT",2020,"pow_geothermal_orc_0",1.25,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
2,"AT",2021,"pow_geothermal_orc_0",1.25,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
3,"AT",2024,"pow_geothermal_orc_0",1.25,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
4,"AT",2027,"pow_geothermal_orc_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
5,"AT",2030,"pow_geothermal_orc_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
6,"AT",2035,"pow_geothermal_orc_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
7,"AT",2040,"pow_geothermal_orc_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
8,"AT",2045,"pow_geothermal_orc_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
9,"AT",2050,"pow_geothermal_orc_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
10,"AT",2060,"pow_geothermal_orc_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
11,"AT",2070,"pow_geothermal_orc_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
12,"DE",2020,"pow_geothermal_orc_0",30.2752,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
13,"DE",2021,"pow_geothermal_orc_0",37.10156,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
14,"DE",2024,"pow_geothermal_orc_0",37.10156,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
15,"DE",2027,"pow_geothermal_orc_0",49.10156,0.0,0.0,100510.0,3289466.67464089,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
16,"DE",2030,"pow_geothermal_orc_0",49.10156,0.0,0.0,100510.0,3289466.67464089,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
17,"DE",2035,"pow_geothermal_orc_0",48.76156,0.0,0.0,100510.0,3289305.3867202,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
18,"DE",2040,"pow_geothermal_orc_0",28.67236,0.0,0.0,100510.0,3272985.4895544,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
19,"DE",2045,"pow_geothermal_orc_0",28.67236,0.0,0.0,100510.0,3272985.4895544,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
20,"DE",2050,"pow_geothermal_orc_0",18.82636,0.0,0.0,100510.0,3252268.53854277,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
21,"DE",2060,"pow_geothermal_orc_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
22,"DE",2070,"pow_geothermal_orc_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
23,"DE",2020,"pow_geothermal_st_0",2.1,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0
