"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_geoth_heat","conversion_factor_sec_elec","conversion_factor_sec_heat_low"
1,"CH",2020,"pow_geothermal_st_chp_0",5.0,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
2,"CH",2021,"pow_geothermal_st_chp_0",5.0,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
3,"CH",2024,"pow_geothermal_st_chp_0",5.0,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
4,"CH",2027,"pow_geothermal_st_chp_0",5.0,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
5,"CH",2030,"pow_geothermal_st_chp_0",5.0,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
6,"CH",2035,"pow_geothermal_st_chp_0",5.0,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
7,"CH",2040,"pow_geothermal_st_chp_0",5.0,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
8,"CH",2045,"pow_geothermal_st_chp_0",5.0,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
9,"CH",2050,"pow_geothermal_st_chp_0",5.0,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
10,"CH",2060,"pow_geothermal_st_chp_0",5.0,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
11,"CH",2070,"pow_geothermal_st_chp_0",5.0,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
12,"DE",2020,"pow_geothermal_st_chp_0",0.0061,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
13,"DE",2021,"pow_geothermal_st_chp_0",0.0061,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
14,"DE",2024,"pow_geothermal_st_chp_0",0.0061,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
15,"DE",2027,"pow_geothermal_st_chp_0",0.0061,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
16,"DE",2030,"pow_geothermal_st_chp_0",0.0061,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
17,"DE",2035,"pow_geothermal_st_chp_0",0.0061,0.0,0.0,100510.0,3312598.0,0.11638,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",10.0,1.0,1.0
18,"DE",2040,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
19,"DE",2045,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
20,"DE",2050,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
21,"DE",2060,"pow_geothermal_st_chp_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0
