"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_marine","conversion_factor_sec_elec"
1,"DK",2020,"pow_marine_0",0.5,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
2,"DK",2021,"pow_marine_0",0.5,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
3,"DK",2024,"pow_marine_0",0.5,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
4,"DK",2027,"pow_marine_0",0.5,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
5,"DK",2030,"pow_marine_0",0.5,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
6,"DK",2035,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
7,"DK",2040,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
8,"DK",2045,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
9,"DK",2050,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
10,"DK",2060,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
11,"DK",2070,"pow_marine_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
12,"ES",2020,"pow_marine_0",0.3,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
13,"ES",2021,"pow_marine_0",0.3,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
14,"ES",2024,"pow_marine_0",0.3,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
15,"ES",2027,"pow_marine_0",0.3,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
16,"ES",2030,"pow_marine_0",0.3,0.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
