"id","region","year","type","market_share_range","mileage","tonnage","bandwidth_type","version","method","source","comment"
1,"DE",2021,"helper_tra_road_ltruck_bev_frei","[0.9015, 0.9015]",20000.0,50.0,"{'market_share_range': 'range'}","v1","{}","{}","{}"
2,"DE",2024,"helper_tra_road_ltruck_bev_frei","[2.0774, 2.0774]",20000.0,50.0,"{'market_share_range': 'range'}","v1","{}","{}","{}"
3,"DE",2027,"helper_tra_road_ltruck_bev_frei","[5.0, 15.0]",20000.0,50.0,"{'market_share_range': 'range'}","v1","{}","{}","{}"
4,"DE",2030,"helper_tra_road_ltruck_bev_frei","[10.0, 20.0]",20000.0,50.0,"{'market_share_range': 'range'}","v1","{}","{}","{}"
5,"DE",2035,"helper_tra_road_ltruck_bev_frei","[15.0, 35.0]",20000.0,50.0,"{'market_share_range': 'range'}","v1","{}","{}","{}"
6,"DE",2040,"helper_tra_road_ltruck_bev_frei","[25.0, 55.0]",20000.0,50.0,"{'market_share_range': 'range'}","v1","{}","{}","{}"
7,"DE",2045,"helper_tra_road_ltruck_bev_frei","[50.0, 80.0]",20000.0,50.0,"{'market_share_range': 'range'}","v1","{}","{}","{}"
8,"DE",2050,"helper_tra_road_ltruck_bev_frei","[55.0, 85.0]",20000.0,50.0,"{'market_share_range': 'range'}","v1","{}","{}","{}"
9,"DE",2060,"helper_tra_road_ltruck_bev_frei","[60.0, 95.0]",20000.0,50.0,"{'market_share_range': 'range'}","v1","{}","{}","{}"
10,"DE",2070,"helper_tra_road_ltruck_bev_frei","[60.0, 95.0]",20000.0,50.0,"{'market_share_range': 'range'}","v1","{}","{}","{}"
