"id","region","year","type","capacity_tra_inst_0","conversion_factor_exo_road_hcar_pkm","conversion_factor_sec_lpg","cost_fix_tra","cost_inv_tra","cost_var_tra","ef_sec_lpg_emi_ch4_f_tra","ef_sec_lpg_emi_co2_f_tra","ef_sec_lpg_emi_n2o_f_tra","lifetime","mileage","occupancy_rate","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_hcar_ice_pass_lpg_0",25273.0,150.0,107.11,1960.33613,42409.2437,0.11261,"2.19","global_emission_factors.lp_gas_energy_related_consumption","0.85",13.2,18380.02382,1.42,"global_scalars.wacc","{}","v1","{'conversion_factor_sec_lpg': 'Calculated based on 8ADAC2023d.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_lpg': '8ADAC2023d', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'ef_sec_lpg_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lpg_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_lpg': 'On average, an lpg vehicle consumes 1.226 times the amount of fuel compared to a gasoline vehicle.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Comparable with Methanol vehicle therefore assumed to be the same as tra_road_hcar_ice_pass_methanol.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_lpg_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_lpg_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
2,"DE",2024,"tra_road_hcar_ice_pass_lpg_0",21482.05,150.0,107.11,1960.33613,42409.2437,0.11261,"2.19","global_emission_factors.lp_gas_energy_related_consumption","0.85",13.2,17723.06273,1.43,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_lpg': 'Calculated based on 8ADAC2023d.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_lpg': '8ADAC2023d', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'ef_sec_lpg_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lpg_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_lpg': 'On average, an lpg vehicle consumes 1.226 times the amount of fuel compared to a gasoline vehicle.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Comparable with Methanol vehicle therefore assumed to be the same as tra_road_hcar_ice_pass_methanol.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_lpg_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_lpg_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
3,"DE",2027,"tra_road_hcar_ice_pass_lpg_0",17691.1,150.0,107.11,1960.33613,42409.2437,0.11261,"2.19","global_emission_factors.lp_gas_energy_related_consumption","0.85",13.2,17586.2051,1.43,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_lpg': 'Calculated based on 8ADAC2023d.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_lpg': '8ADAC2023d', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'ef_sec_lpg_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lpg_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_lpg': 'On average, an lpg vehicle consumes 1.226 times the amount of fuel compared to a gasoline vehicle.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Comparable with Methanol vehicle therefore assumed to be the same as tra_road_hcar_ice_pass_methanol.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_lpg_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_lpg_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
4,"DE",2030,"tra_road_hcar_ice_pass_lpg_0",7581.9,150.0,107.11,1960.33613,42409.2437,0.11261,"2.19","global_emission_factors.lp_gas_energy_related_consumption","0.85",13.2,17449.34748,1.43,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_lpg': 'Calculated based on 8ADAC2023d.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_lpg': '8ADAC2023d', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'ef_sec_lpg_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lpg_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_lpg': 'On average, an lpg vehicle consumes 1.226 times the amount of fuel compared to a gasoline vehicle.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Comparable with Methanol vehicle therefore assumed to be the same as tra_road_hcar_ice_pass_methanol.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_lpg_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_lpg_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
5,"DE",2035,"tra_road_hcar_ice_pass_lpg_0",5054.6,150.0,107.11,1960.33613,42409.2437,0.11261,"2.19","global_emission_factors.lp_gas_energy_related_consumption","0.85",13.2,17221.25143,1.44,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_lpg': 'Calculated based on 8ADAC2023d.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_lpg': '8ADAC2023d', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'ef_sec_lpg_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lpg_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_lpg': 'On average, an lpg vehicle consumes 1.226 times the amount of fuel compared to a gasoline vehicle.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Comparable with Methanol vehicle therefore assumed to be the same as tra_road_hcar_ice_pass_methanol.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_lpg_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_lpg_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
6,"DE",2040,"tra_road_hcar_ice_pass_lpg_0",2527.3,150.0,107.11,1960.33613,42409.2437,0.11261,"2.19","global_emission_factors.lp_gas_energy_related_consumption","0.85",13.2,16993.15538,1.43,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_lpg': 'Calculated based on 8ADAC2023d.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_lpg': '8ADAC2023d', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'ef_sec_lpg_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lpg_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_lpg': 'On average, an lpg vehicle consumes 1.226 times the amount of fuel compared to a gasoline vehicle.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Comparable with Methanol vehicle therefore assumed to be the same as tra_road_hcar_ice_pass_methanol.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_lpg_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_lpg_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
7,"DE",2045,"tra_road_hcar_ice_pass_lpg_0",1263.65,150.0,107.11,1960.33613,42409.2437,0.11261,"2.19","global_emission_factors.lp_gas_energy_related_consumption","0.85",13.2,16765.05934,1.43,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_lpg': 'Calculated based on 8ADAC2023d.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_lpg': '8ADAC2023d', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'ef_sec_lpg_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lpg_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_lpg': 'On average, an lpg vehicle consumes 1.226 times the amount of fuel compared to a gasoline vehicle.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Comparable with Methanol vehicle therefore assumed to be the same as tra_road_hcar_ice_pass_methanol.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_lpg_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_lpg_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
8,"DE",2050,"tra_road_hcar_ice_pass_lpg_0",0.0,150.0,107.11,1960.33613,42409.2437,0.11261,"2.19","global_emission_factors.lp_gas_energy_related_consumption","0.85",13.2,16536.96329,1.52,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_lpg': 'Calculated based on 8ADAC2023d.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_lpg': '8ADAC2023d', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'ef_sec_lpg_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lpg_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_lpg': 'On average, an lpg vehicle consumes 1.226 times the amount of fuel compared to a gasoline vehicle.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Comparable with Methanol vehicle therefore assumed to be the same as tra_road_hcar_ice_pass_methanol.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_lpg_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_lpg_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
9,"DE",2060,"tra_road_hcar_ice_pass_lpg_0",0.0,150.0,107.11,1960.33613,42409.2437,0.11261,"2.19","global_emission_factors.lp_gas_energy_related_consumption","0.85",13.2,16536.96329,1.52,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_lpg': 'Calculated based on 8ADAC2023d.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using WWF, 2014 (p.20).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_lpg': '8ADAC2023d', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'ef_sec_lpg_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lpg_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8HolzhMulle2014'}","{'conversion_factor_sec_lpg': 'On average, an lpg vehicle consumes 1.226 times the amount of fuel compared to a gasoline vehicle.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Comparable with Methanol vehicle therefore assumed to be the same as tra_road_hcar_ice_pass_methanol.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_lpg_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_lpg_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
10,"DE",2070,"tra_road_hcar_ice_pass_lpg_0",0.0,150.0,107.11,1960.33613,42409.2437,0.11261,"2.19","global_emission_factors.lp_gas_energy_related_consumption","0.85",13.2,16536.96329,1.52,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_lpg': 'Calculated based on 8ADAC2023d.', 'cost_fix_tra': 'Own assumption', 'cost_inv_tra': 'Own assumption', 'cost_var_tra': 'Own assumption', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using WWF, 2014 (p.20).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_lpg': '8ADAC2023d', 'cost_fix_tra': '8DLR2023', 'cost_inv_tra': '8DLR2023', 'cost_var_tra': '8DLR2023', 'ef_sec_lpg_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_lpg_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8HolzhMulle2014'}","{'conversion_factor_sec_lpg': 'On average, an lpg vehicle consumes 1.226 times the amount of fuel compared to a gasoline vehicle.', 'cost_fix_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Comparable with Methanol vehicle therefore assumed to be the same as tra_road_hcar_ice_pass_methanol.', 'cost_var_tra': 'The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_lpg_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_lpg_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
