"id","region","year","type","conversion_factor_exo_road_htruck_tkm","conversion_factor_sec_elec","lifetime","mileage","tonnage","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_htruck_oev_frei_0",5000.0,180.0,15.0,100733.19615,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Projected using Agora, 2021.'}","{'mileage': '8HackeJohrePlotz2020, 8Progn2021'}","{'mileage': 'Based on page 25.'}"
2,"DE",2024,"tra_road_htruck_oev_frei_0",5000.0,180.0,15.0,101099.79423,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Projected using Agora, 2021.'}","{'mileage': '8HackeJohrePlotz2020, 8Progn2021'}","{'mileage': 'Based on page 25.'}"
3,"DE",2027,"tra_road_htruck_oev_frei_0",5000.0,180.0,15.0,101466.3923,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Projected using Agora, 2021.'}","{'mileage': '8HackeJohrePlotz2020, 8Progn2021'}","{'mileage': 'Based on page 25.'}"
4,"DE",2030,"tra_road_htruck_oev_frei_0",5000.0,180.0,15.0,101832.99038,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Projected using Agora, 2021.'}","{'mileage': '8HackeJohrePlotz2020, 8Progn2021'}","{'mileage': 'Based on page 25.'}"
5,"DE",2035,"tra_road_htruck_oev_frei_0",5000.0,180.0,15.0,102443.98717,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Projected using Agora, 2021.'}","{'mileage': '8HackeJohrePlotz2020, 8Progn2021'}","{'mileage': 'Based on page 25.'}"
6,"DE",2040,"tra_road_htruck_oev_frei_0",5000.0,180.0,15.0,103054.98396,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Projected using Agora, 2021.'}","{'mileage': '8HackeJohrePlotz2020, 8Progn2021'}","{'mileage': 'Based on page 25.'}"
7,"DE",2045,"tra_road_htruck_oev_frei_0",5000.0,180.0,15.0,103665.98076,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Projected using Agora, 2021.'}","{'mileage': '8HackeJohrePlotz2020, 8Progn2021'}","{'mileage': 'Based on page 25.'}"
8,"DE",2050,"tra_road_htruck_oev_frei_0",5000.0,180.0,15.0,104276.97755,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Projected using Agora, 2021.'}","{'mileage': '8HackeJohrePlotz2020, 8Progn2021'}","{'mileage': 'Based on page 25.'}"
9,"DE",2060,"tra_road_htruck_oev_frei_0",5000.0,180.0,15.0,104276.97755,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Projected using Agora, 2021.'}","{'mileage': '8HackeJohrePlotz2020'}","{'mileage': 'Assumed to be constant. Based on page 25.'}"
10,"DE",2070,"tra_road_htruck_oev_frei_0",5000.0,180.0,15.0,104276.97755,50.0,"global_scalars.wacc","{}","v1","{'mileage': 'Projected using Agora, 2021.'}","{'mileage': '8HackeJohrePlotz2020'}","{'mileage': 'Assumed to be constant. Based on page 25.'}"
