"id","region","year","type","capacity_tra_inst_0","conversion_factor_exo_road_lcar_pkm","conversion_factor_sec_cng","cost_fix_tra","cost_inv_tra","cost_var_tra","ef_sec_cng_emi_ch4_f_tra","ef_sec_cng_emi_co2_f_tra","ef_sec_cng_emi_n2o_f_tra","lifetime","mileage","occupancy_rate","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_lcar_ice_pass_cng_0",27890.0,150.0,52.0,715.96639,13642.01681,0.03697,"17.3","global_emission_factors.cng","0.23",13.2,19736.8396,1.32,"global_scalars.wacc","{}","v1","{'conversion_factor_sec_cng': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data.', 'cost_fix_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. ', 'cost_inv_tra': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data. ', 'cost_var_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data.', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_cng': '8Kraft2021b, 8ADAC2023', 'cost_fix_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'cost_inv_tra': '8Kraft2021b, 8ADAC2023', 'cost_var_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_cng': 'Based on WLTP combined.  The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Taxes excluded. According to 8KrameBothe2022 small passenger car cng ICEVs are 1080 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_cng_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_cng_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
2,"DE",2024,"tra_road_lcar_ice_pass_cng_0",23706.5,150.0,52.0,715.96639,13642.01681,0.03697,"17.3","global_emission_factors.cng","0.23",13.2,19585.59945,1.33,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_cng': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data.', 'cost_fix_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. ', 'cost_inv_tra': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data. ', 'cost_var_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data.', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_cng': '8Kraft2021b, 8ADAC2023', 'cost_fix_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'cost_inv_tra': '8Kraft2021b, 8ADAC2023', 'cost_var_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_cng': 'Based on WLTP combined.  The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Taxes excluded. According to 8KrameBothe2022 small passenger car cng ICEVs are 1080 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_cng_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_cng_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
3,"DE",2027,"tra_road_lcar_ice_pass_cng_0",19523.0,150.0,52.0,715.96639,13642.01681,0.03697,"17.3","global_emission_factors.cng","0.23",13.2,19434.3593,1.33,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_cng': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data.', 'cost_fix_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. ', 'cost_inv_tra': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data. ', 'cost_var_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data.', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_cng': '8Kraft2021b, 8ADAC2023', 'cost_fix_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'cost_inv_tra': '8Kraft2021b, 8ADAC2023', 'cost_var_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_cng': 'Based on WLTP combined.  The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Taxes excluded. According to 8KrameBothe2022 small passenger car cng ICEVs are 1080 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_cng_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_cng_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
4,"DE",2030,"tra_road_lcar_ice_pass_cng_0",8367.0,150.0,52.0,715.96639,13642.01681,0.03697,"17.3","global_emission_factors.cng","0.23",13.2,19283.11915,1.33,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_cng': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data.', 'cost_fix_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. ', 'cost_inv_tra': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data. ', 'cost_var_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data.', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_cng': '8Kraft2021b, 8ADAC2023', 'cost_fix_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'cost_inv_tra': '8Kraft2021b, 8ADAC2023', 'cost_var_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_cng': 'Based on WLTP combined.  The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Taxes excluded. According to 8KrameBothe2022 small passenger car cng ICEVs are 1080 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_cng_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_cng_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
5,"DE",2035,"tra_road_lcar_ice_pass_cng_0",5578.0,150.0,52.0,715.96639,13642.01681,0.03697,"17.3","global_emission_factors.cng","0.23",13.2,19031.05223,1.34,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_cng': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data.', 'cost_fix_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. ', 'cost_inv_tra': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data. ', 'cost_var_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data.', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_cng': '8Kraft2021b, 8ADAC2023', 'cost_fix_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'cost_inv_tra': '8Kraft2021b, 8ADAC2023', 'cost_var_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_cng': 'Based on WLTP combined.  The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Taxes excluded. According to 8KrameBothe2022 small passenger car cng ICEVs are 1080 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_cng_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_cng_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
6,"DE",2040,"tra_road_lcar_ice_pass_cng_0",2789.0,150.0,52.0,715.96639,13642.01681,0.03697,"17.3","global_emission_factors.cng","0.23",13.2,18778.98532,1.33,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_cng': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data.', 'cost_fix_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. ', 'cost_inv_tra': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data. ', 'cost_var_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data.', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_cng': '8Kraft2021b, 8ADAC2023', 'cost_fix_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'cost_inv_tra': '8Kraft2021b, 8ADAC2023', 'cost_var_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_cng': 'Based on WLTP combined.  The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Taxes excluded. According to 8KrameBothe2022 small passenger car cng ICEVs are 1080 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_cng_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_cng_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
7,"DE",2045,"tra_road_lcar_ice_pass_cng_0",1394.5,150.0,52.0,715.96639,13642.01681,0.03697,"17.3","global_emission_factors.cng","0.23",13.2,18526.9184,1.33,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_cng': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data.', 'cost_fix_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. ', 'cost_inv_tra': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data. ', 'cost_var_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data.', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_cng': '8Kraft2021b, 8ADAC2023', 'cost_fix_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'cost_inv_tra': '8Kraft2021b, 8ADAC2023', 'cost_var_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_cng': 'Based on WLTP combined.  The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Taxes excluded. According to 8KrameBothe2022 small passenger car cng ICEVs are 1080 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_cng_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_cng_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Assumption: constant 2040 until 2050. Based on table AA15.'}"
8,"DE",2050,"tra_road_lcar_ice_pass_cng_0",0.0,150.0,52.0,715.96639,13642.01681,0.03697,"17.3","global_emission_factors.cng","0.23",13.2,18274.85148,1.41,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_cng': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data.', 'cost_fix_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. ', 'cost_inv_tra': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data. ', 'cost_var_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data.', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using Shell, 2014 (table 24).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_cng': '8Kraft2021b, 8ADAC2023', 'cost_fix_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'cost_inv_tra': '8Kraft2021b, 8ADAC2023', 'cost_var_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8AdolfBalze2014'}","{'conversion_factor_sec_cng': 'Based on WLTP combined.  The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Taxes excluded. According to 8KrameBothe2022 small passenger car cng ICEVs are 1080 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_cng_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_cng_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'occupancy_rate': 'Based on table AA15.'}"
9,"DE",2060,"tra_road_lcar_ice_pass_cng_0",0.0,150.0,52.0,715.96639,13642.01681,0.03697,"17.3","global_emission_factors.cng","0.23",13.2,18274.85148,1.41,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_cng': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data.', 'cost_fix_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. ', 'cost_inv_tra': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data. ', 'cost_var_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data.', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using WWF, 2014 (p.20).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_cng': '8Kraft2021b, 8ADAC2023', 'cost_fix_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'cost_inv_tra': '8Kraft2021b, 8ADAC2023', 'cost_var_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8HolzhMulle2014'}","{'conversion_factor_sec_cng': 'Based on WLTP combined.  The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Taxes excluded. According to 8KrameBothe2022 small passenger car cng ICEVs are 1080 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_cng_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_cng_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'mileage': 'Assumed to be constant', 'occupancy_rate': 'Assumption: constant after 2050'}"
10,"DE",2070,"tra_road_lcar_ice_pass_cng_0",0.0,150.0,52.0,715.96639,13642.01681,0.03697,"17.3","global_emission_factors.cng","0.23",13.2,18274.85148,1.41,"global_scalars.wacc","{}","v1","{'capacity_tra_inst_0': 'First own assumption', 'conversion_factor_sec_cng': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data.', 'cost_fix_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. ', 'cost_inv_tra': 'Own analysis based on 8Kraft2021b and 8ADAC2023 data. ', 'cost_var_tra': 'Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data.', 'mileage': 'Aggregated table 25 of BASt, 2017, projected with assumption by Agora, 2021.', 'occupancy_rate': 'MiD, 2017 (table AA15) forecasted by using WWF, 2014 (p.20).'}","{'capacity_tra_inst_0': '8S&PG2023', 'conversion_factor_sec_cng': '8Kraft2021b, 8ADAC2023', 'cost_fix_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'cost_inv_tra': '8Kraft2021b, 8ADAC2023', 'cost_var_tra': '8Kraft2023, 8ADAC2023, 8ADAC2023b', 'ef_sec_cng_emi_ch4_f_tra': '8Umwel2023', 'ef_sec_cng_emi_n2o_f_tra': '8Umwel2023', 'lifetime': '8Kraft2011', 'mileage': '8BaumeHautz2014, 8Progn2021', 'occupancy_rate': '8infas2018, 8HolzhMulle2014'}","{'conversion_factor_sec_cng': 'Based on WLTP combined.  The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_fix_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'cost_inv_tra': 'Taxes excluded. According to 8KrameBothe2022 small passenger car cng ICEVs are 1080 Euro more expensive compared to an gasoline ICEV.', 'cost_var_tra': 'Taxes excluded. The data is assumed to be equivalent to that of the 2020 new registrations.', 'ef_sec_cng_emi_ch4_f_tra': 'Table 488 automobiles', 'ef_sec_cng_emi_n2o_f_tra': 'Table 488 automobiles', 'lifetime': 'No data available for vehicle type/scenario year differentiation.', 'mileage': 'Assumed to be constant', 'occupancy_rate': 'Assumption: constant after 2050'}"
