"id","region","year","type","capacity_e","efficiency_sto_in","efficiency_sto_out","lifetime","share_tra_charge_mode","sto_max_timeseries","sto_min_timeseries","sto_self_discharge","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_ltruck_bev_frei_battery_flex_uni_0",100.0,100.0,97.0,10.0,0.0,"tra_timeseries.sto_max_ltruck","tra_timeseries.sto_min_ltruck",0.007,"{}","v1","{'share_tra_charge_mode': 'First own assumption', 'sto_max_timeseries': 'Normalized to 1.', 'sto_min_timeseries': 'Normalized to 1.'}","{'sto_self_discharge': '8XuBehre2023'}","{}"
2,"DE",2024,"tra_road_ltruck_bev_frei_battery_flex_uni_0",100.0,100.0,97.0,10.0,0.0,"tra_timeseries.sto_max_ltruck","tra_timeseries.sto_min_ltruck",0.007,"{}","v1","{'share_tra_charge_mode': 'First own assumption', 'sto_max_timeseries': 'Normalized to 1.', 'sto_min_timeseries': 'Normalized to 1.'}","{'sto_self_discharge': '8XuBehre2023'}","{}"
3,"DE",2027,"tra_road_ltruck_bev_frei_battery_flex_uni_0",100.0,100.0,97.0,10.0,0.0,"tra_timeseries.sto_max_ltruck","tra_timeseries.sto_min_ltruck",0.007,"{}","v1","{'share_tra_charge_mode': 'First own assumption', 'sto_max_timeseries': 'Normalized to 1.', 'sto_min_timeseries': 'Normalized to 1.'}","{'sto_self_discharge': '8XuBehre2023'}","{}"
4,"DE",2030,"tra_road_ltruck_bev_frei_battery_flex_uni_0",100.0,100.0,97.0,10.0,0.0,"tra_timeseries.sto_max_ltruck","tra_timeseries.sto_min_ltruck",0.007,"{}","v1","{'share_tra_charge_mode': 'First own assumption', 'sto_max_timeseries': 'Normalized to 1.', 'sto_min_timeseries': 'Normalized to 1.'}","{'sto_self_discharge': '8XuBehre2023'}","{}"
5,"DE",2035,"tra_road_ltruck_bev_frei_battery_flex_uni_0",100.0,100.0,97.0,10.0,0.0,"tra_timeseries.sto_max_ltruck","tra_timeseries.sto_min_ltruck",0.007,"{}","v1","{'share_tra_charge_mode': 'First own assumption', 'sto_max_timeseries': 'Normalized to 1.', 'sto_min_timeseries': 'Normalized to 1.'}","{'sto_self_discharge': '8XuBehre2023'}","{}"
6,"DE",2040,"tra_road_ltruck_bev_frei_battery_flex_uni_0",100.0,100.0,97.0,10.0,0.0,"tra_timeseries.sto_max_ltruck","tra_timeseries.sto_min_ltruck",0.007,"{}","v1","{'share_tra_charge_mode': 'First own assumption', 'sto_max_timeseries': 'Normalized to 1.', 'sto_min_timeseries': 'Normalized to 1.'}","{'sto_self_discharge': '8XuBehre2023'}","{}"
7,"DE",2045,"tra_road_ltruck_bev_frei_battery_flex_uni_0",100.0,100.0,97.0,10.0,0.0,"tra_timeseries.sto_max_ltruck","tra_timeseries.sto_min_ltruck",0.007,"{}","v1","{'share_tra_charge_mode': 'First own assumption', 'sto_max_timeseries': 'Normalized to 1.', 'sto_min_timeseries': 'Normalized to 1.'}","{'sto_self_discharge': '8XuBehre2023'}","{}"
8,"DE",2050,"tra_road_ltruck_bev_frei_battery_flex_uni_0",100.0,100.0,97.0,10.0,0.0,"tra_timeseries.sto_max_ltruck","tra_timeseries.sto_min_ltruck",0.007,"{}","v1","{'share_tra_charge_mode': 'First own assumption', 'sto_max_timeseries': 'Normalized to 1.', 'sto_min_timeseries': 'Normalized to 1.'}","{'sto_self_discharge': '8XuBehre2023'}","{}"
9,"DE",2060,"tra_road_ltruck_bev_frei_battery_flex_uni_0",100.0,100.0,97.0,10.0,0.0,"tra_timeseries.sto_max_ltruck","tra_timeseries.sto_min_ltruck",0.007,"{}","v1","{'share_tra_charge_mode': 'First own assumption', 'sto_max_timeseries': 'Normalized to 1.', 'sto_min_timeseries': 'Normalized to 1.'}","{'sto_self_discharge': '8XuBehre2023'}","{}"
10,"DE",2070,"tra_road_ltruck_bev_frei_battery_flex_uni_0",100.0,100.0,97.0,10.0,0.0,"tra_timeseries.sto_max_ltruck","tra_timeseries.sto_min_ltruck",0.007,"{}","v1","{'share_tra_charge_mode': 'First own assumption', 'sto_max_timeseries': 'Normalized to 1.', 'sto_min_timeseries': 'Normalized to 1.'}","{'sto_self_discharge': '8XuBehre2023'}","{}"
