"id","region","year","type","conversion_factor_exo_road_ltruck_tkm","conversion_factor_sec_elec_battery","cost_fix_tra","cost_inv_tra","cost_var_tra","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_ltruck_bev_frei_engine_flex_uni_1",5000.0,200.0,500.0,150000.0,0.4,"global_scalars.wacc","{}","v1","{}","{}","{}"
2,"DE",2024,"tra_road_ltruck_bev_frei_engine_flex_uni_1",5000.0,200.0,500.0,150000.0,0.4,"global_scalars.wacc","{}","v1","{}","{}","{}"
3,"DE",2027,"tra_road_ltruck_bev_frei_engine_flex_uni_1",5000.0,200.0,500.0,150000.0,0.4,"global_scalars.wacc","{}","v1","{}","{}","{}"
4,"DE",2030,"tra_road_ltruck_bev_frei_engine_flex_uni_1",5000.0,200.0,500.0,150000.0,0.4,"global_scalars.wacc","{}","v1","{}","{}","{}"
5,"DE",2035,"tra_road_ltruck_bev_frei_engine_flex_uni_1",5000.0,200.0,500.0,150000.0,0.4,"global_scalars.wacc","{}","v1","{}","{}","{}"
6,"DE",2040,"tra_road_ltruck_bev_frei_engine_flex_uni_1",5000.0,200.0,500.0,150000.0,0.4,"global_scalars.wacc","{}","v1","{}","{}","{}"
7,"DE",2045,"tra_road_ltruck_bev_frei_engine_flex_uni_1",5000.0,200.0,500.0,150000.0,0.4,"global_scalars.wacc","{}","v1","{}","{}","{}"
8,"DE",2050,"tra_road_ltruck_bev_frei_engine_flex_uni_1",5000.0,200.0,500.0,150000.0,0.4,"global_scalars.wacc","{}","v1","{}","{}","{}"
9,"DE",2060,"tra_road_ltruck_bev_frei_engine_flex_uni_1",5000.0,200.0,500.0,150000.0,0.4,"global_scalars.wacc","{}","v1","{}","{}","{}"
10,"DE",2070,"tra_road_ltruck_bev_frei_engine_flex_uni_1",5000.0,200.0,500.0,150000.0,0.4,"global_scalars.wacc","{}","v1","{}","{}","{}"
