"id","version","csv_name","year","carrier","sector","category","amount","region","marginal_cost"
1,"v3","x2x_import_natural_gas.csv",2021,"methane","x2x","import",1000,"De",10
2,"v3","x2x_import_natural_gas.csv",2024,"methane","x2x","import",1000,"De",20
3,"v3","x2x_import_natural_gas.csv",2027,"methane","x2x","import",1000,"De",30
4,"v3","x2x_import_natural_gas.csv",2030,"methane","x2x","import",1000,"De",40
5,"v3","x2x_import_natural_gas.csv",2035,"methane","x2x","import",1000,"De",50
6,"v3","x2x_import_natural_gas.csv",2040,"methane","x2x","import",1000,"De",60
7,"v3","x2x_import_natural_gas.csv",2045,"methane","x2x","import",1000,"De",70
8,"v3","x2x_import_natural_gas.csv",2050,"methane","x2x","import",1000,"De",80
9,"v3","x2x_import_natural_gas.csv",2060,"methane","x2x","import",1000,"De",90
10,"v3","x2x_import_natural_gas.csv",2070,"methane","x2x","import",1000,"De",100
