"id","region","year","operational_temperature","investment_cost","fixed_cost","electricity_demand","process_efficiency","operational_life_time","minimal_load","bandwidth_type","version","method","source","comment"
1,"global",2020,"[60.0, 80.0]","[850.0]","[2.0, 3.0]","[3.8, 8.2]","[65.0]","[30.0]","[20.0, 30.0]","","v1","","{'operational_temperature': 'akbar_review_2020', 'investment_cost': 'sterner_power--gas_2021', 'fixed_cost': 'rego_de_vasconcelos_recent_2019', 'electricity_demand': 'rego_de_vasconcelos_recent_2019', 'process_efficiency': 'akbar_review_2020', 'operational_lifetime': 'gotz_renewable_2016', 'minimal_load': 'akbar_review_2020'}",""
2,"global",2030,"[80.0]","[700.0]","[2.0, 3.0]","","[67.0]","[30.0]","[20.0]","","v1","","{'operational_temperature': 'schiebahn_power_2015', 'investment_cost': 'simon_araya_review_2020', 'fixed_cost': 'grahn_review_2022', 'process_efficiency': 'grahn_review_2022', 'operational_lifetime': 'ownAssumptions', 'minimal_load': 'ownAssumptions'}",""
3,"global",2021,"[60.0, 80.0]","[750.0]","[5.0]","[4.5, 6.6]","[63.0, 70.0]","[30.0]","[20.0]","{'operational_temperature': 'range', 'investment_cost': 'values', 'fixed_cost': 'values', 'process_efficiency': 'range', 'electricity_demand': 'range', 'operational_lifetime': 'values', 'minimal_load': 'values'}",srd_range_draft,"{'operational_temperature': 'from source, assumed based on value for 2020', 'investment_cost': 'from source, assumed based on value for 2020', 'fixed_cost': 'from source, assumed based on value for 2020', 'electricity_demand': 'from source, assumed based on value for 2020', 'process_efficiency': 'from source, assumed based on value for 2020', 'operational_lifetime': 'from source, assumed based on value for 2020', 'minimal_load': 'from source, assumed based on value for 2020'}","{'operational_temperature': '5dieterichPowertoliquidSynthesisMethanol2020', 'investment_cost': '5danishenergyagencyTechnologyDataRenewable2017', 'fixed_cost': '5danishenergyagencyTechnologyDataRenewable2017', 'electricity_demand': '5gotzRenewablePowertoGasTechnological2016a', 'process_efficiency': '5danishenergyagencyTechnologyDataRenewable2017', 'operational_lifetime': '5danishenergyagencyTechnologyDataRenewable2017', 'minimal_load': '5duncanTechnoeconomicalModellingPowertogas2022'}",""
4,"global",2024,"[60.0, 80.0]","[690.0]","[5.0]","[4.5, 6.6]","[63.6, 70.3]","[30.0]","[20.0]","{'operational_temperature': 'range', 'investment_cost': 'values', 'fixed_cost': 'values', 'process_efficiency': 'range', 'electricity_demand': 'range', 'operational_lifetime': 'values', 'minimal_load': 'values'}","v2","{'operational_temperature': 'assumed to be constant', 'investment_cost': 'linear interpolation', 'fixed_cost': 'linear interpolation', 'electricity_demand': 'linear interpolation', 'process_efficiency': 'linear interpolation', 'operational_lifetime': 'linear interpolation', 'minimal_load': 'linear interpolation'}","{'operational_temperature': 'ownAssumptions', 'investment_cost': 'ownCalculation', 'fixed_cost': 'ownCalculation', 'electricity_demand': 'ownCalculation', 'process_efficiency': 'ownCalculation', 'operational_lifetime': 'ownCalculation', 'minimal_load': 'ownCalculation'}",""
5,"global",2027,"[60.0, 80.0]","[630.0]","[5.0]","[4.5, 6.6]","[64.3, 70.6]","[30.0]","[20.0]","{'operational_temperature': 'range', 'investment_cost': 'values', 'fixed_cost': 'values', 'process_efficiency': 'range', 'electricity_demand': 'range', 'operational_lifetime': 'values', 'minimal_load': 'values'}","v2","{'operational_temperature': 'assumed to be constant', 'investment_cost': 'linear interpolation', 'fixed_cost': 'linear interpolation', 'electricity_demand': 'linear interpolation', 'process_efficiency': 'linear interpolation', 'operational_lifetime': 'linear interpolation', 'minimal_load': 'linear interpolation'}","{'operational_temperature': 'ownAssumptions', 'investment_cost': 'ownCalculation', 'fixed_cost': 'ownCalculation', 'electricity_demand': 'ownCalculation', 'process_efficiency': 'ownCalculation', 'operational_lifetime': 'ownCalculation', 'minimal_load': 'ownCalculation'}",""
6,"global",2030,"[60.0, 80.0]","[570.0]","[5.0]","[4.5, 6.6]","[65.0, 71.0]","[30.0]","[20.0]","{'operational_temperature': 'range', 'investment_cost': 'values', 'fixed_cost': 'values', 'process_efficiency': 'range', 'electricity_demand': 'range', 'operational_lifetime': 'values', 'minimal_load': 'values'}","v2","{'operational_temperature': 'assumed to be constant', 'investment_cost': 'from source', 'fixed_cost': 'from source', 'electricity_demand': 'from source', 'process_efficiency': 'from source', 'operational_lifetime': 'from source', 'minimal_load': 'assumed to be constant'}","{'operational_temperature': 'ownAssumptions', 'investment_cost': '5danishenergyagencyTechnologyDataRenewable2017', 'fixed_cost': '5danishenergyagencyTechnologyDataRenewable2017', 'electricity_demand': '5gotzRenewablePowertoGasTechnological2016a', 'process_efficiency': '5danishenergyagencyTechnologyDataRenewable2017', 'operational_lifetime': '5danishenergyagencyTechnologyDataRenewable2017', 'minimal_load': 'ownAssumptions'}",""
7,"global",2035,"[60.0, 80.0]","[510.0]","[5.0]","[4.5, 6.6]","[67.5, 75.5]","[30.0]","[20.0]","{'operational_temperature': 'range', 'investment_cost': 'values', 'fixed_cost': 'values', 'process_efficiency': 'range', 'electricity_demand': 'range', 'operational_lifetime': 'values', 'minimal_load': 'values'}","v2","{'operational_temperature': 'assumed to be constant', 'investment_cost': 'linear interpolation', 'fixed_cost': 'linear interpolation', 'electricity_demand': 'linear interpolation', 'process_efficiency': 'linear interpolation', 'operational_lifetime': 'linear interpolation', 'minimal_load': 'linear interpolation'}","{'operational_temperature': 'ownAssumptions', 'investment_cost': 'ownCalculation', 'fixed_cost': 'ownCalculation', 'electricity_demand': 'ownCalculation', 'process_efficiency': 'ownCalculation', 'operational_lifetime': 'ownCalculation', 'minimal_load': 'ownCalculation'}",""
8,"global",2040,"[60.0, 80.0]","[450.0]","[5.0]","[4.5, 6.6]","[70.0, 80.0]","[30.0]","[20.0]","{'operational_temperature': 'range', 'investment_cost': 'values', 'fixed_cost': 'values', 'process_efficiency': 'range', 'electricity_demand': 'range', 'operational_lifetime': 'values', 'minimal_load': 'values'}","v2","{'operational_temperature': 'assumed to be constant', 'investment_cost': 'from source', 'fixed_cost': 'from source', 'electricity_demand': 'from source', 'process_efficiency': 'from source', 'operational_lifetime': 'from source', 'minimal_load': 'assumed to be constant'}","{'operational_temperature': 'ownAssumptions', 'investment_cost': '5danishenergyagencyTechnologyDataRenewable2017', 'fixed_cost': '5danishenergyagencyTechnologyDataRenewable2017', 'electricity_demand': '5gotzRenewablePowertoGasTechnological2016a', 'process_efficiency': '5danishenergyagencyTechnologyDataRenewable2017', 'operational_lifetime': '5danishenergyagencyTechnologyDataRenewable2017', 'minimal_load': 'ownAssumptions'}",""
9,"global",2045,"[60.0, 80.0]","[400.0]","[5.0]","[4.5, 6.6]","[70.0, 80.0]","[30.0]","[20.0]","{'operational_temperature': 'range', 'investment_cost': 'values', 'fixed_cost': 'values', 'process_efficiency': 'range', 'electricity_demand': 'range', 'operational_lifetime': 'values', 'minimal_load': 'values'}","v2","{'operational_temperature': 'assumed to be constant', 'investment_cost': 'linear interpolation', 'fixed_cost': 'linear interpolation', 'electricity_demand': 'linear interpolation', 'process_efficiency': 'linear interpolation', 'operational_lifetime': 'linear interpolation', 'minimal_load': 'linear interpolation'}","{'operational_temperature': 'ownAssumptions', 'investment_cost': 'ownCalculation', 'fixed_cost': 'ownCalculation', 'electricity_demand': 'ownCalculation', 'process_efficiency': 'ownCalculation', 'operational_lifetime': 'ownCalculation', 'minimal_load': 'ownCalculation'}",""
10,"global",2050,"[60.0, 80.0]","[350.0]","[5.0]","[4.5, 6.6]","[70.0, 80.0]","[30.0]","[20.0]","{'operational_temperature': 'range', 'investment_cost': 'values', 'fixed_cost': 'values', 'process_efficiency': 'range', 'electricity_demand': 'range', 'operational_lifetime': 'values', 'minimal_load': 'values'}","v2","{'operational_temperature': 'assumed to be constant', 'investment_cost': 'from source', 'fixed_cost': 'from source', 'electricity_demand': 'from source', 'process_efficiency': 'from source', 'operational_lifetime': 'from source', 'minimal_load': 'assumed to be constant'}","{'operational_temperature': 'ownAssumptions', 'investment_cost': '5danishenergyagencyTechnologyDataRenewable2017', 'fixed_cost': '5danishenergyagencyTechnologyDataRenewable2017', 'electricity_demand': '5gotzRenewablePowertoGasTechnological2016a', 'process_efficiency': '5danishenergyagencyTechnologyDataRenewable2017', 'operational_lifetime': '5danishenergyagencyTechnologyDataRenewable2017', 'minimal_load': 'ownAssumptions'}",""
