"id","region","year","availability_constant","conversion_factor_sec_elec","conversion_factor_sec_syngas","cost_fix_capacity","cost_inv_capacity","cost_var","flow_share_max_sec_diesel_syn_orig","flow_share_max_sec_gasoline_syn_orig","flow_share_max_sec_kerosene_syn_orig","flow_share_max_sec_naphtha_syn_orig","flow_share_min_sec_diesel_syn_orig","flow_share_min_sec_gasoline_syn_orig","flow_share_min_sec_kerosene_syn_orig","flow_share_min_sec_naphtha_syn_orig","lifetime","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,92.0,0.02,1.3677,"[16.0, 84.0]","[400.0, 2100.0]",0.0,50.0,68.0,65.0,25.0,0.0,22.0,25.0,10.0,20.0,"all_economic.wacc""""","{'cost_fix_capacity': 'range', 'cost_inv_capacity': 'range'}","v1","{'availability_constant': '4 percent forced outage plus 2 weeks per year planned outage', 'conversion_factor_sec_elec': 'El. consumption of syngas comp. (3.1 MW) plus flue gas compressor (0.2 MW) in relation to sum of output 179.7 MW euqals 2 percent', 'conversion_factor_sec_syngas': 'increase of efficiency based on development of 8Danis2017', 'cost_fix_capacity': '4% of investment costs', 'cost_var': 'Own Assumption'}","{'availability_constant': '8Danis2017', 'conversion_factor_sec_elec': '8GuiyaPingp2021', 'conversion_factor_sec_syngas': '8ZhouSearlPavle2022, 8BrynoTalje2018, 8Inter2019,8Danis2017', 'cost_fix_capacity': '8TagomRocheSzklo2019,8ZhouSearlPavle2022,8BrynoTalje2018,8GrahnMalmg2022,8Inter2019,8RungeSolch2019', 'cost_inv_capacity': '8GrahnMalmg2022, 8Inter2019', 'cost_var': '8DLR2023', 'flow_share_max_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'lifetime': '8Danis2017'}",""
2,"DE",2024,92.0,0.02,1.3613,"[15.6, 79.56]","[390.0, 1989.0]",0.0,50.0,68.0,65.0,25.0,0.0,22.0,25.0,10.0,25.0,"all_economic.wacc""""","{'cost_fix_capacity': 'range', 'cost_inv_capacity': 'range'}","v1","{'availability_constant': '2 weeks per year planned outage', 'conversion_factor_sec_elec': 'El. consumption of syngas comp. (3.1 MW) plus flue gas compressor (0.2 MW) in relation to sum of output 179.7 MW euqals 2 percent', 'cost_inv_capacity': 'Linear interpolation', 'cost_fix_capacity': '4% of investment costs', 'cost_var': 'Own Assumption'}","{'availability_constant': '8Danis2017', 'conversion_factor_sec_elec': '8GuiyaPingp2021', 'conversion_factor_sec_syngas': '8ZhouSearlPavle2022, 8BrynoTalje2018, 8Inter2019,8Danis2017', 'cost_fix_capacity': '8TagomRocheSzklo2019,8ZhouSearlPavle2022,8BrynoTalje2018,8GrahnMalmg2022,8Inter2019,8RungeSolch2019', 'cost_inv_capacity': '8GrahnMalmg2022, 8Inter2019', 'cost_var': '8DLR2023', 'flow_share_max_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'lifetime': '8Danis2017'}",""
3,"DE",2027,96.0,0.02,1.3548,"[15.16, 75.16]","[379.0, 1879.0]",0.0,50.0,68.0,65.0,25.0,0.0,22.0,25.0,10.0,25.0,"all_economic.wacc""""","{'cost_fix_capacity': 'range', 'cost_inv_capacity': 'range'}","v1","{'availability_constant': '2 weeks per year planned outage', 'conversion_factor_sec_elec': 'El. consumption of syngas comp. (3.1 MW) plus flue gas compressor (0.2 MW) in relation to sum of output 179.7 MW euqals 2 percent', 'cost_inv_capacity': 'Linear interpolation', 'cost_fix_capacity': '4% of investment costs', 'cost_var': 'Own Assumption'}","{'availability_constant': '8Danis2017', 'conversion_factor_sec_elec': '8GuiyaPingp2021', 'conversion_factor_sec_syngas': '8ZhouSearlPavle2022, 8BrynoTalje2018, 8Inter2019,8Danis2017', 'cost_fix_capacity': '8TagomRocheSzklo2019,8ZhouSearlPavle2022,8BrynoTalje2018,8GrahnMalmg2022,8Inter2019,8RungeSolch2019', 'cost_inv_capacity': '8GrahnMalmg2022, 8Inter2019', 'cost_var': '8DLR2023', 'flow_share_max_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'lifetime': '8Danis2017'}",""
4,"DE",2030,96.0,0.02,1.3484,"[14.76, 70.72]","[369.0, 1768.0]",0.0,50.0,68.0,65.0,25.0,0.0,22.0,25.0,10.0,25.0,"all_economic.wacc""""","{'cost_fix_capacity': 'range', 'cost_inv_capacity': 'range'}","v1","{'availability_constant': '2 weeks per year planned outage', 'conversion_factor_sec_elec': 'El. consumption of syngas comp. (3.1 MW) plus flue gas compressor (0.2 MW) in relation to sum of output 179.7 MW euqals 2 percent', 'cost_inv_capacity': 'Linear interpolation', 'cost_fix_capacity': '4% of investment costs', 'cost_var': 'Own Assumption'}","{'availability_constant': '8Danis2017', 'conversion_factor_sec_elec': '8GuiyaPingp2021', 'conversion_factor_sec_syngas': '8ZhouSearlPavle2022, 8BrynoTalje2018, 8Inter2019,8Danis2017', 'cost_fix_capacity': '8TagomRocheSzklo2019,8ZhouSearlPavle2022,8BrynoTalje2018,8GrahnMalmg2022,8Inter2019,8RungeSolch2019', 'cost_inv_capacity': '8GrahnMalmg2022, 8Inter2019', 'cost_var': '8DLR2023', 'flow_share_max_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'lifetime': '8Danis2017'}",""
5,"DE",2035,96.0,0.02,1.3377,"[14.08, 63.32]","[352.0, 1583.0]",0.0,50.0,68.0,65.0,25.0,0.0,22.0,25.0,10.0,25.0,"all_economic.wacc""""","{'cost_fix_capacity': 'range', 'cost_inv_capacity': 'range'}","v1","{'availability_constant': '2 weeks per year planned outage', 'conversion_factor_sec_elec': 'El. consumption of syngas comp. (3.1 MW) plus flue gas compressor (0.2 MW) in relation to sum of output 179.7 MW euqals 2 percent', 'cost_inv_capacity': 'Linear interpolation', 'cost_fix_capacity': '4% of investment costs', 'cost_var': 'Own Assumption'}","{'availability_constant': '8Danis2017', 'conversion_factor_sec_elec': '8GuiyaPingp2021', 'conversion_factor_sec_syngas': '8ZhouSearlPavle2022, 8BrynoTalje2018, 8Inter2019,8Danis2017', 'cost_fix_capacity': '8TagomRocheSzklo2019,8ZhouSearlPavle2022,8BrynoTalje2018,8GrahnMalmg2022,8Inter2019,8RungeSolch2019', 'cost_inv_capacity': '8GrahnMalmg2022, 8Inter2019', 'cost_var': '8DLR2023', 'flow_share_max_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'lifetime': '8Danis2017'}",""
6,"DE",2040,96.0,0.02,1.3269,"[13.36, 55.96]","[334.0, 1399.0]",0.0,50.0,68.0,65.0,25.0,0.0,22.0,25.0,10.0,25.0,"all_economic.wacc""""","{'cost_fix_capacity': 'range', 'cost_inv_capacity': 'range'}","v1","{'availability_constant': '2 weeks per year planned outage', 'conversion_factor_sec_elec': 'El. consumption of syngas comp. (3.1 MW) plus flue gas compressor (0.2 MW) in relation to sum of output 179.7 MW euqals 2 percent', 'cost_inv_capacity': 'Linear interpolation', 'cost_fix_capacity': '4% of investment costs', 'cost_var': 'Own Assumption'}","{'availability_constant': '8Danis2017', 'conversion_factor_sec_elec': '8GuiyaPingp2021', 'conversion_factor_sec_syngas': '8ZhouSearlPavle2022, 8BrynoTalje2018, 8Inter2019,8Danis2017', 'cost_fix_capacity': '8TagomRocheSzklo2019,8ZhouSearlPavle2022,8BrynoTalje2018,8GrahnMalmg2022,8Inter2019,8RungeSolch2019', 'cost_inv_capacity': '8GrahnMalmg2022, 8Inter2019', 'cost_var': '8DLR2023', 'flow_share_max_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'lifetime': '8Danis2017'}",""
7,"DE",2045,96.0,0.02,1.3162,"[12.68, 48.56]","[317.0, 1214.0]",0.0,50.0,68.0,65.0,25.0,0.0,22.0,25.0,10.0,25.0,"all_economic.wacc""""","{'cost_fix_capacity': 'range', 'cost_inv_capacity': 'range'}","v1","{'availability_constant': '2 weeks per year planned outage', 'conversion_factor_sec_elec': 'El. consumption of syngas comp. (3.1 MW) plus flue gas compressor (0.2 MW) in relation to sum of output 179.7 MW euqals 2 percent', 'cost_inv_capacity': 'Linear interpolation', 'cost_fix_capacity': '4% of investment costs', 'cost_var': 'Own Assumption'}","{'availability_constant': '8Danis2017', 'conversion_factor_sec_elec': '8GuiyaPingp2021', 'conversion_factor_sec_syngas': '8ZhouSearlPavle2022, 8BrynoTalje2018, 8Inter2019,8Danis2017', 'cost_fix_capacity': '8TagomRocheSzklo2019,8ZhouSearlPavle2022,8BrynoTalje2018,8GrahnMalmg2022,8Inter2019,8RungeSolch2019', 'cost_inv_capacity': '8GrahnMalmg2022, 8Inter2019', 'cost_var': '8DLR2023', 'flow_share_max_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'lifetime': '8Danis2017'}",""
8,"DE",2050,96.0,0.02,1.3055,"[12.0, 41.2]","[300.0, 1030.0]",0.0,50.0,68.0,65.0,25.0,0.0,22.0,25.0,10.0,25.0,"all_economic.wacc""""","{'cost_fix_capacity': 'range', 'cost_inv_capacity': 'range'}","v1","{'availability_constant': '2 weeks per year planned outage', 'conversion_factor_sec_elec': 'El. consumption of syngas comp. (3.1 MW) plus flue gas compressor (0.2 MW) in relation to sum of output 179.7 MW euqals 2 percent', 'cost_inv_capacity': 'Linear interpolation', 'cost_fix_capacity': '4% of investment costs', 'cost_var': 'Own Assumption'}","{'availability_constant': '8Danis2017', 'conversion_factor_sec_elec': '8GuiyaPingp2021', 'conversion_factor_sec_syngas': '8ZhouSearlPavle2022, 8BrynoTalje2018, 8Inter2019,8Danis2017', 'cost_fix_capacity': '8TagomRocheSzklo2019,8ZhouSearlPavle2022,8BrynoTalje2018,8GrahnMalmg2022,8Inter2019,8RungeSolch2019', 'cost_inv_capacity': '8GrahnMalmg2022, 8Inter2019', 'cost_var': '8DLR2023', 'flow_share_max_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'lifetime': '8Danis2017'}",""
9,"DE",2060,96.0,0.02,1.3055,"[12.0, 41.2]","[300.0, 1030.0]",0.0,50.0,68.0,65.0,25.0,0.0,22.0,25.0,10.0,25.0,"all_economic.wacc""""","{'cost_fix_capacity': 'range', 'cost_inv_capacity': 'range'}","v1","{'availability_constant': '2 weeks per year planned outage', 'conversion_factor_sec_elec': 'El. consumption of syngas comp. (3.1 MW) plus flue gas compressor (0.2 MW) in relation to sum of output 179.7 MW euqals 2 percent', 'cost_inv_capacity': 'Linear interpolation', 'cost_fix_capacity': '4% of investment costs', 'cost_var': 'Own Assumption'}","{'availability_constant': '8Danis2017', 'conversion_factor_sec_elec': '8GuiyaPingp2021', 'conversion_factor_sec_syngas': '8ZhouSearlPavle2022, 8BrynoTalje2018, 8Inter2019,8Danis2017', 'cost_fix_capacity': '8TagomRocheSzklo2019,8ZhouSearlPavle2022,8BrynoTalje2018,8GrahnMalmg2022,8Inter2019,8RungeSolch2019', 'cost_inv_capacity': '8GrahnMalmg2022, 8Inter2019', 'cost_var': '8DLR2023', 'flow_share_max_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'lifetime': '8Danis2017'}",""
10,"DE",2070,96.0,0.02,1.3055,"[12.0, 41.2]","[300.0, 1030.0]",0.0,50.0,68.0,65.0,25.0,0.0,22.0,25.0,10.0,25.0,"all_economic.wacc""""","{'cost_fix_capacity': 'range', 'cost_inv_capacity': 'range'}","v1","{'availability_constant': '2 weeks per year planned outage', 'conversion_factor_sec_elec': 'El. consumption of syngas comp. (3.1 MW) plus flue gas compressor (0.2 MW) in relation to sum of output 179.7 MW euqals 2 percent', 'cost_inv_capacity': 'Linear interpolation', 'cost_fix_capacity': '4% of investment costs', 'cost_var': 'Own Assumption'}","{'availability_constant': '8Danis2017', 'conversion_factor_sec_elec': '8GuiyaPingp2021', 'conversion_factor_sec_syngas': '8ZhouSearlPavle2022, 8BrynoTalje2018, 8Inter2019,8Danis2017', 'cost_fix_capacity': '8TagomRocheSzklo2019,8ZhouSearlPavle2022,8BrynoTalje2018,8GrahnMalmg2022,8Inter2019,8RungeSolch2019', 'cost_inv_capacity': '8GrahnMalmg2022, 8Inter2019', 'cost_var': '8DLR2023', 'flow_share_max_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_max_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_diesel_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_gasoline_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_kerosene_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'flow_share_min_sec_naphtha_syn_orig': '8KonigBauck2015,8GuiyaPingp2021,8Klerk2011,8TagomRocheSzklo2019,8ZhouSearlPavle2022', 'lifetime': '8Danis2017'}",""
